OBJECTID,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
1,55.980699999999999,-122.740700000000004,339.399999999999977,1.100000000000000,1.000000000000000,2019-01-01 0:00:00,541,Terra,MODIS,100,6.030000000000000,266.600000000000023,53.299999999999997,N,0
2,51.688800000000001,-121.470200000000006,318.600000000000023,1.600000000000000,1.200000000000000,2019-01-04 0:00:00,2128,Aqua,MODIS,65,6.030000000000000,267.699999999999989,42.299999999999997,D,0
3,51.223799999999997,-122.110900000000001,337.399999999999977,1.700000000000000,1.300000000000000,2019-01-05 0:00:00,1847,Terra,MODIS,83,6.030000000000000,270.699999999999989,99.500000000000000,D,0
4,52.550500000000000,-122.329400000000007,317.899999999999977,1.700000000000000,1.300000000000000,2019-01-14 0:00:00,2027,Aqua,MODIS,78,6.030000000000000,271.199999999999989,47.100000000000001,D,0
5,53.915500000000002,-125.809700000000007,300.000000000000000,1.000000000000000,1.000000000000000,2019-01-23 0:00:00,1047,Aqua,MODIS,13,6.030000000000000,265.000000000000000,10.100000000000000,N,0
6,55.035499999999999,-120.157499999999999,309.300000000000011,1.000000000000000,1.000000000000000,2019-01-24 0:00:00,1917,Terra,MODIS,68,6.030000000000000,269.399999999999977,14.900000000000000,D,0
7,56.418199999999999,-121.296000000000006,331.699999999999989,1.100000000000000,1.100000000000000,2019-01-24 0:00:00,2105,Aqua,MODIS,83,6.030000000000000,268.600000000000023,43.600000000000001,D,0
8,56.416100000000000,-121.313999999999993,318.899999999999977,1.100000000000000,1.100000000000000,2019-01-24 0:00:00,2105,Aqua,MODIS,79,6.030000000000000,268.800000000000011,26.699999999999999,D,0
9,55.019199999999998,-120.136399999999995,302.199999999999989,1.700000000000000,1.300000000000000,2019-01-27 0:00:00,617,Terra,MODIS,47,6.030000000000000,274.500000000000000,20.699999999999999,N,0
10,55.017099999999999,-120.163899999999998,317.500000000000000,1.700000000000000,1.300000000000000,2019-01-27 0:00:00,617,Terra,MODIS,95,6.030000000000000,274.399999999999977,44.200000000000003,N,0
11,51.768500000000003,-121.059299999999993,308.500000000000000,1.700000000000000,1.300000000000000,2019-01-27 0:00:00,1948,Terra,MODIS,51,6.030000000000000,270.500000000000000,27.300000000000001,D,0
12,48.523800000000001,-124.178100000000001,315.500000000000000,1.100000000000000,1.100000000000000,2019-01-29 0:00:00,1937,Terra,MODIS,76,6.030000000000000,277.699999999999989,21.199999999999999,D,0
